"FAME_compound","chemical_formula","C","H","O","percent_C","molecular_mass"
"12:00","C13H26O2",13,26,2,0.728452197117785,214.349
"14:00","C15H30O2",15,30,2,0.743245751909011,242.403
"a15:0","C16H32O2",16,32,2,0.749428693990563,256.43
"15:00","C16H32O2",16,32,2,0.749428693990563,256.43
"16:1n9/i16:0","C17H32O2",17,32,2,0.760640140664056,268.441
"16:00","C17H34O2",17,34,2,0.75497029102593,270.457
"i17:0","C18H36O2",18,36,2,0.759965411060024,284.484
"17:0cy","C18H34O2",18,34,2,0.765389353838311,282.468
"17:00","C18H36O2",18,36,2,0.759965411060024,284.484
"18:00","C19H38O2",19,38,2,0.764491090780574,298.511
"19:0cy","C20H38O2",20,38,2,0.77360058224538,310.522
"19:00","C20H40O2",20,20,2,0.821607644898043,292.378
"20:4n6","C21H34O2",21,34,2,0.791931579492686,318.501
"20:5n3","C21H32O2",21,32,2,0.796976160007583,316.485
"18:2n9,12 and cis-18:1n9 and 18:3n3","C19H34O2",19,34,2,0.774958486004095,294.479
"trans-18:1n9","C19H36O2",19,36,2,0.769689202178789,296.495
"18:3n6","C18H30O2",18,30,2,0.776472869887515,278.436
"16:1w5","C16H30O2",16,30,2,0.755367236079776,254.414
